 x1  x2  x3  x4    x5    x6     x7       x8      x9    x10    x11   x12  x13   x14       x15  x16  x17  x18  x19    y
 33  24  45  23  16.000  13  -0.10743   5.406  4.840   6401   71.3   18   92  42.3     18937   89   78   39   27  81.3
 63  25  39  22  36.500  14   0.87666   5.878  5.342  11139   91.9   15   71  53.0    490000   95   59   26   28  83.3
 21  21  44  20  41.500   0   1.21615   4.789  4.052  14591   74.2   18   82  46.5    448000   94   77   45    8  66.0
 28  22  19   9  51.400   0   0.38122   4.268  4.245  14709   81.0   15   83  48.6   2539000   96   77   46   26  52.0
 37  20  33  20  11.000  19  -0.44601   2.731  4.460   5508   64.0   21   86  41.3     23000   84   78   54   34  47.7
 38  20  34  15  14.800   9  -0.12039   2.731  4.300   5018   61.3   15   79  42.0     33000   84   71   46   18  46.3
 33  24  45  21  22.500   0   0.53463   4.016  4.290  12792   76.0   19   87  47.5    112300   88   81   40   11  57.3
 11  20  35  17  23.000  12  -0.78809   4.122  3.988   1455   67.7   18   75  41.5     34925   75   70   42    4  50.7
 34  21  35  17  28.000   7  -0.80431   2.270  5.650  10800   79.9   15   82  50.6    264000   89   69   49    8  66.0
 25  21  25  19  23.900  17  -0.13719   2.829  3.700   9166   73.7   18   91  43.0    513000   92   82   49   12  48.0
 17  19  10  15  23.800   0   0.88417   2.165  4.314  17386   65.2   19   57  40.7    589000   88   91   18   11  34.3
 69  24  40  22  24.100  35   2.39527   2.173  4.760  19308   88.0   16   81  49.2    264000   89   35   44   17  82.7
 86  28  76  25  13.000   4  -1.14045  19.152  6.373   4940  101.4    8   70  58.5     73000  100   33   35   73  90.7
 19  22  42  17  19.400  18  -0.97265   4.275  4.698   6098   74.3   22   92  44.5     22000   91   74   61   10  67.3
 26  21  22  17  48.300  19   0.20169   3.687  5.094  17223   81.8   14   81  47.4    633000   99   79   58    7  55.7
 31  21  16  18  22.300   0   0.88886   2.261  3.909  10248   71.0   21   71  39.8     80071   92   88   45   16  43.3
 30  22  34  12  19.200  19   1.38449   2.200  4.280   5966   65.6   18   80  43.3     28000   92   86   40   12  48.3
 19  19  20  17  17.000   0  -0.77082   3.648  4.646   7965   64.3   17   80  42.3    283000   94   91   42   29  57.0
 27  20  29  18  14.000  10  -0.97265   3.510  4.851   6539   65.3   18   84  43.4     44757   95   96   54   16  62.3
 48  23  36  12  60.000   0  -0.46223   5.832  4.338  10635   83.1   19   87  46.8     39000   95   47   51   20  79.0
 25  22  37  18  31.400   0  -0.46816   6.164  5.414   6174   80.8   16   84  45.7    369900   96   68   65   21  61.7
 25  22  43  22  36.900  25   1.72446   4.880  4.930  14123   80.8   16   85  46.8     26000   98   87   50   28  67.3
 89  28  63  15   4.100   0  -1.14045  14.300  6.200   2890   92.6    8   64  52.6   1638000   98   24   33   45  89.3
 33  24  52  19  33.900  12  -0.80431   5.346  5.614   7526   86.9   15   64  47.8     41700   98   63   53   13  74.3
 37  19  28  13  11.500   0  -0.80484   2.590  4.770   4219   63.9   19   75  37.9     48000   90   65   50   18  44.0
 60  17  11  12  30.000   0  -1.14045   1.932  6.626   3189   88.3   21   55  49.1   1111000   99   77   37    4  34.7
 53  16   5   9  18.000   3  -1.14045   2.013  5.786   2003   67.2   18   39  46.3    782000   83   75   24    1  37.3
 34  21  34  23   9.400   0  -0.97265  16.790  6.108   3796   83.8   12   76  49.1   1008000   86   90   35   35  71.3
 33  19  48  17  25.500  10  -0.44601   3.534  3.830   8311   70.7   14   74  43.4    454000   89   71   46   17  60.7
 87  28  92  24  17.700   4   0.89341  21.525  7.560  10088  114.0    5   51  60.1     23451   99   13   35   55  93.3
 33  24  72  21  18.600   0   1.55612  18.000  7.760  20800   70.4   12   80  43.7    163900   86   58   68   56  69.7
 34  22  48  25   7.000   3  -0.78163  11.090  3.860   5940   75.9   15   84  47.6    448000   93   77   48   27  60.3
 18  22  18  16  28.000   0   1.89026   6.150  5.888   7925   86.0   15   55  47.2   1585600   96   68   62   27  45.0
 25  21  34  18  25.500  16  -0.60301   2.576  3.802  15797   67.4   17   90  42.3    586000   85   76   34   15  55.3
 53  16   0  11  15.400   0  -1.14045   1.882  5.107   7367   66.1   19   15  41.9    515000   89   77   38    2  23.3
 44  22  15  18  48.000  16   1.38918   2.866  4.260   9772   84.2   21   65  49.7    846000   99   71   43    6  63.7
 45  23  32  20  41.900   6  -1.14045   2.337  4.162   4083   73.4   22   81  48.8    222600   91   86   30    5  68.3
 25  20  23  16  24.700   4  -0.46223   2.777  4.290   7482   72.1   19   83  40.6    222636   94   75   30    6  42.7
 14  18   8  16  21.700   0  -1.14045   5.952  4.597   5696   67.8   18   78  41.5    614128   80   95   55    3  37.0
 47  23  41  22  12.000   0  -0.13149  22.066  6.600   1781   85.4   12   77  48.3   1285000   97   79   45   66  72.7
 42  23  45  20   5.000   4   0.39873  13.140  4.410   7867   72.7   12   71  40.9    367000   96   80   46   23  58.0
 61  26  43  19  28.000   0  -0.30011  20.480  6.834   3801   91.8   13   48  55.9  14531000   89   45   56   31  67.7
 95  24  32  16  30.000   0   0.54286   4.354  7.657  10482   92.7   17   59  52.0    102700   93   28   38   10  80.3
 97  24  31  15  35.600   0   1.72192   4.050  6.490  10130   92.5   18   38  52.0     14532   98   33   37    3  77.7
 22  19   7  11  18.700   6   0.03656   2.041  6.100  13347   72.3   21   68  45.4    853000   86   77   27   17  35.7
 21  20   6   9  26.400  18   1.56221   2.601  4.620  13987   66.1   19   88  40.1    160000   97   88   21   16  38.0
 63  26  83  26   9.200   0  -0.30011  20.900  7.430  12034   93.2    9   83  48.7    985000   96   59   37   87  81.7
 79  26  47  22  21.500  20   0.70832   4.786  4.279   6624   90.9   13   74  48.5    131373   93   34   24   32  91.3
 31  22  39  22  26.600  16  -0.77082   4.147  3.420   4040   74.1   16   86  47.0     34600   92   74   63   26  73.3
 16  20  32   6  25.700   9  -0.80129   3.556  4.398   2538   68.4   16   85  43.3    429000   83   84   51    5  52.0
 64  26  81  26   6.000   0   1.55283  19.450  5.450   9957   81.3   11   88  46.1   1050000   95   48   45   69  85.0
 37  22  17  16  34.400  17  -0.43520   3.366  5.418   6699   73.0   12   67  47.8   2970000   99   66   35   11  69.3
 40  21  49  17  20.100   0  -0.97265   3.266  4.426   4684   66.7   14   83  44.0     23478   88   90   54    9  63.0
 23  19  20  22  21.700   0  -0.61976   2.335  5.005   6072   62.6   19   91  34.0     25900   84   93   55   44  55.3
 46  23  24  17  36.000  24  -0.44626   3.240  4.066  15770   73.9   13   87  50.6    190800   94   73   35   35  72.3
 27  20  21  17  11.250  12  -1.14045   2.326  4.244   6703   57.4   15   91  40.9     27000   89   97   41   21  45.0
